scene,platform_id,time,subswath,burst,lat,lon,dist_km,inc_deg,v_los_drift,method,v_los_pipe,residual
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,03_stokes_mouche_first,0.2165908874194199,0.06726878496763383
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,04_stokes_mouche_desc_first,0.27355570633669823,0.12423360388491217
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,05_full_mouche_first,0.5220320029999825,0.37270990054819647
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,03_stokes_ocn_first,0.5099911303441101,0.3606690278923241
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,04_stokes_ocn_desc_first,0.5669559492613885,0.4176338468096024
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,05_full_ocn_first,0.8154322459246728,0.6661101434728867
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,ocn_product,-0.10151827335357666,-0.2508403758053627
scene35,5802012,2025-07-13 16:00:00,iw2,9,-30.88509,32.65497,9.365619518293206,36.20827102661133,0.14932210245178607,glo12,0.31545037031173706,0.166128267859951
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,01_geom_last,-0.26060640330602103,-0.027136486111425995
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,02_geom_stokes_last,-0.34212024773646765,-0.10865033054187262
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,03_stokes_mouche_last,-0.6415566083340781,-0.4080866911394831
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,04_stokes_mouche_desc_last,-0.6306028348599666,-0.39713291766537157
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,05_full_mouche_last,-0.4741156977807277,-0.24064578058613267
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,03_stokes_ocn_last,-0.07492448653270178,0.15854543066189325
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,04_stokes_ocn_desc_last,-0.06397071305859031,0.16949920413600472
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,05_full_ocn_last,0.09251642402064858,0.3259863412152436
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,01_geom_first,-0.001352142969987845,0.2321177742246072
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,02_geom_stokes_first,-0.08288642434301183,0.1505834928515832
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,03_stokes_mouche_first,-0.38238352207364845,-0.14891360487905342
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,04_stokes_mouche_desc_first,-0.4062031253511131,-0.17273320815651805
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,05_full_mouche_first,-0.2497159882718742,-0.016246071077279156
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,03_stokes_ocn_first,0.12097502084551051,0.3544449380401056
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,04_stokes_ocn_desc_first,0.09715541756804587,0.3306253347626409
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,05_full_ocn_first,0.25364255464728475,0.4871124718418798
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,ocn_product,-0.5505521297454834,-0.31708221255088836
scene38,1401839,2025-09-17 17:00:00,iw2,4,-36.18929,22.974976,0.1762181515495179,40.610496520996094,-0.23346991719459503,glo12,-0.4460868835449219,-0.21261696635032684
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,01_geom_last,0.5406944392079813,0.6333288196939929
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,02_geom_stokes_last,0.4027500090951426,0.49538438958115416
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,03_stokes_mouche_last,0.02223783115095923,0.11487221163697081
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,04_stokes_mouche_desc_last,0.012085144035291151,0.10471952452130273
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,05_full_mouche_last,0.2664219183845038,0.3590562988705154
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,03_stokes_ocn_last,-0.18232471367173364,-0.08969033318572206
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,04_stokes_ocn_desc_last,-0.19247740078740172,-0.09984302030139014
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,05_full_ocn_last,0.061859373561810926,0.1544937540478225
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,01_geom_first,-0.15289053924206267,-0.06025615875605109
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,02_geom_stokes_first,-0.2909061522019244,-0.19827177171591281
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,03_stokes_mouche_first,-0.6714811236393786,-0.578846743153367
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,04_stokes_mouche_desc_first,-0.6731193436544087,-0.5804849631683972
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,05_full_mouche_first,-0.4187825693051961,-0.3261481888191845
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,03_stokes_ocn_first,-0.8157078833115435,-0.723073502825532
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,04_stokes_ocn_desc_first,-0.8173461033265736,-0.7247117228405621
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,05_full_ocn_first,-0.563009328977361,-0.4703749484913494
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,ocn_product,0.36190885305404663,0.4545432335400582
scene4,1401838,2026-02-13 17:00:00,iw2,0,-37.296,20.834,0.6750651660115411,38.110843658447266,-0.09263438048601158,glo12,-0.21423162519931793,-0.12159724471330635
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,01_geom_last,-0.29727685389771746,0.19346881684316325
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,02_geom_stokes_last,-0.4076651999141245,0.08308047082675624
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,03_stokes_mouche_last,-0.8352863558913737,-0.34454068515049296
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,04_stokes_mouche_desc_last,-0.8427338017938154,-0.3519881310529347
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,05_full_mouche_last,-0.7725222124574201,-0.28177654171653943
scene40,1701608,2025-09-22 17:00:00,iw3,1,-36.83463,21.91246,1.1710682489607407,44.11090087890625,-0.4907456707408807,03_stokes_ocn_last,-0.10159645167842196,0.38914921906245875
