scene,platform_id,time,subswath,burst,lat,lon,dist_km,inc_deg,v_los_drift,method,v_los_pipe,residual
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,ocn_dc_stokes,-1.419912077486515,-0.5312766342927353
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,ocn_dc_mouche,-1.7044546082615852,-0.8158191650678055
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,ocn_dc_full,-1.474730633199215,-0.5860951900054352
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.0452388053695225,33.59485626220703,0.4045129828287346,ocn_dc_geom,-0.6512733697891235,-1.0557863526178581
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.0452388053695225,33.59485626220703,0.4045129828287346,ocn_dc_stokes,-0.6668666200712323,-1.071379602899967
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.0452388053695225,33.59485626220703,0.4045129828287346,ocn_dc_mouche,-0.6292143473401666,-1.0337273301689012
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.0452388053695225,33.59485626220703,0.4045129828287346,ocn_dc_full,-0.36132434103637934,-0.7658373238651139
scene15,5801988,2025-02-19 16:00:00,iw1,3,-31.99989,32.676422,0.0279710766029516,34.19540786743164,-0.1948510559538219,ocn_dc_geom,-0.9934527277946472,-0.7986016718408253
scene15,5801988,2025-02-19 16:00:00,iw1,3,-31.99989,32.676422,0.0279710766029516,34.19540786743164,-0.1948510559538219,ocn_dc_stokes,-0.9300260543823242,-0.7351749984285023
scene15,5801988,2025-02-19 16:00:00,iw1,3,-31.99989,32.676422,0.0279710766029516,34.19540786743164,-0.1948510559538219,ocn_dc_mouche,-0.7021095752716064,-0.5072585193177845
scene15,5801988,2025-02-19 16:00:00,iw1,3,-31.99989,32.676422,0.0279710766029516,34.19540786743164,-0.1948510559538219,ocn_dc_full,-0.4646826684474945,-0.2698316124936726
scene18,5801988,2025-03-08 17:00:00,iw1,4,-33.83829,31.245926,0.8554173690549512,34.30635070800781,-0.0158875901834291,ocn_dc_geom,-1.3970590829849243,-1.3811714928014953
